date,site,subsite,replicate,Tc,Ph,DIC,d13C.DIC,DOC,d13C.DOC,POC,d13C.POC,d15N.POM,Chla,d13C.photo,depth
20210123,wet0,L1,R1,8.89,8.10,11.36,-12.43,21.69,-28.54,0.50,-28.31,5.38,2.97,-37.00,0.20
20210123,wet0,L2,R1,8.89,8.10,11.60,-12.39,21.07,-28.52,0.50,-29.50,5.44,2.97,-36.97,0.20
20210123,wet1,L1,R1,8.89,8.10,7.26,-4.72,20.37,-23.97,0.50,-24.74,4.02,5.20,-29.96,0.20
20210123,wet1,L2,R1,8.89,8.10,7.24,-4.76,20.91,-24.00,0.50,-25.23,5.12,3.35,-30.00,0.20
20210123,wet2,L1,R1,8.89,8.10,6.76,-10.99,18.26,-27.43,0.50,-26.58,4.93,2.36,-34.30,0.25
20210123,wet2,L2,R1,8.89,8.10,6.70,-9.77,16.17,-27.22,0.50,-27.50,6.60,1.75,-35.91,0.25
20210308,wet0,L1,R1,11.57,8.08,18.97,-6.14,41.62,-25.32,0.50,-28.00,2.34,1.40,-31.26,0.15
20210308,wet0,L2,R1,11.57,8.08,21.44,-4.50,35.40,-28.72,0.50,-28.73,3.28,1.50,-29.76,0.15
20210308,wet0,L3,R1,11.57,8.08,20.18,-4.85,37.18,-28.87,0.50,-28.37,3.61,1.50,-30.08,0.15
20210321,wet1,L1,R1,11.57,8.10,7.26,0.44,25.96,-24.00,5.36,-25.42,4.44,19.70,-28.59,0.16
20210321,wet1,L2,R1,11.57,8.06,7.36,0.24,25.59,-23.99,5.36,-25.36,3.92,19.70,-27.97,0.16
20210321,wet1,L3,R1,11.57,8.08,7.26,0.08,26.36,-24.05,5.36,-25.27,4.45,19.70,-23.22,0.16
20210321,wet2,L1,R1,11.57,8.04,6.48,-4.99,25.07,-27.28,4.30,-28.43,3.35,8.20,-30.75,0.20
20210321,wet2,L2,R1,11.57,8.11,7.60,-8.10,21.08,-26.57,4.30,-25.16,3.00,7.35,-32.31,0.20
20210321,wet2,L3,R1,11.57,8.08,7.28,-8.59,18.41,-27.54,4.30,-27.55,3.62,6.50,-32.31,0.20
20210502,wet1,L1,R1,20.00,8.86,14.02,6.63,75.24,-23.25,3.52,-21.96,4.36,13.85,-20.89,0.12
20210502,wet1,L1,R2,20.00,8.86,13.93,6.86,77.29,-23.17,3.52,-22.44,4.31,13.85,-22.17,0.12
20210502,wet1,L2,R1,20.00,8.86,11.50,4.80,49.52,-23.64,3.52,-24.27,4.61,13.85,-19.51,0.12
20210502,wet1,L2,R2,20.00,8.86,11.34,5.04,50.45,-23.52,3.52,-24.21,4.65,13.85,-20.32,0.12
20210502,wet2,L1,R1,20.00,8.55,15.66,-1.61,49.36,-25.13,7.80,-22.60,4.14,43.91,-27.13,0.10
20210502,wet2,L2,R1,20.00,8.55,15.70,-1.75,51.56,-24.90,7.80,-22.27,3.94,43.91,-27.25,0.10
20210522,wet1,L1,R1,16.29,8.86,17.02,-0.56,82.51,-24.46,104.00,-26.15,3.37,332.00,-26.15,0.10
20210522,wet1,L1,R2,16.29,8.86,17.93,-0.98,82.99,-24.74,104.00,-27.04,3.11,332.00,-27.04,0.10
20220321,wet1,L1,R1,14.81,8.06,6.71,0.57,27.63,-25.16,2.22,-25.16,4.25,9.70,-27.79,0.20
20220321,wet1,L2,R1,14.81,8.10,6.87,0.52,27.63,-24.60,1.21,-24.60,4.10,6.50,-26.11,0.20
20220321,wet2,L1,R1,14.81,8.04,7.47,-8.45,19.16,-31.76,0.71,-31.76,6.70,4.90,-31.91,0.27
20220321,wet2,L2,R1,14.81,8.11,7.64,-8.34,18.83,-32.02,0.81,-32.02,6.60,5.20,-32.16,0.27
20220321,wet3,L1,R1,14.81,7.92,3.22,2.67,29.38,-23.98,1.34,-23.98,3.75,6.90,-24.83,0.13
20220321,wet3,L2,R1,14.81,7.80,3.27,2.71,28.26,-26.14,2.03,-26.14,3.76,9.10,-24.92,0.13
20220321,wet4,L1,R1,14.81,8.59,4.58,-0.08,21.77,-25.41,0.42,-25.41,3.47,3.96,-26.60,0.29
20220321,wet4,L2,R1,14.81,8.53,4.63,0.22,19.62,-26.43,1.31,-26.43,3.59,6.80,-24.72,0.29
20220321,wet5,L1,R1,14.81,8.34,3.65,4.11,26.35,-26.76,1.87,-26.76,4.08,8.59,-25.87,0.20
20220321,wet5,L2,R1,14.81,8.26,3.70,3.94,23.46,-25.53,2.06,-25.53,4.34,9.20,-23.32,0.20
20220501,wet1,L1,R1,17.87,8.86,12.32,1.98,50.00,-24.10,36.83,-24.10,4.94,120.00,-25.06,0.15
20220501,wet1,L2,R1,17.87,8.86,12.00,1.87,50.00,-24.26,36.83,-24.26,4.50,120.00,-24.87,0.15
20220501,wet2,L1,R1,17.87,8.55,13.35,-0.93,19.24,-25.30,6.84,-25.30,5.25,24.44,-25.75,0.20
20220501,wet2,L2,R1,17.87,8.55,13.31,-0.88,19.24,-25.55,6.84,-25.55,5.78,24.44,-25.63,0.20
20220501,wet3,L1,R1,17.87,8.43,6.72,-0.83,59.90,-25.92,51.89,-25.92,3.63,168.00,-26.10,0.09
20220501,wet3,L2,R1,17.87,8.43,6.76,-0.71,59.90,-25.99,51.89,-25.99,3.10,168.00,-25.76,0.09
20220501,wet5,L1,R1,17.87,8.69,8.33,1.08,78.32,-22.05,4.07,-22.05,3.20,15.60,-23.81,0.13
20220501,wet5,L2,R1,17.87,8.70,8.72,0.73,78.20,-22.11,4.30,-22.11,4.68,16.33,-22.60,0.13
